Order,HSK Level-Order,Word,Pronunciation,Definition,Soundfile,Stroke count
133,1-131,一,yi1,one; 1; single; a (article); as soon as; entire; whole; all; throughout; one radical in Chinese characters (Kangxi radical 1),chi-387ce83b.ogg,0,
134,1-132,衣服,yi1 fu5,clothes,chi-53b6b004.ogg,0,
135,1-133,医生,yi1 sheng1,doctor,chi-cb564cfa.ogg,0,
136,1-134,医院,yi1 yuan4,hospital,chi-9eda7536.ogg,0,
137,1-135,椅子,yi3 zi5,chair,chi-378d8a6a.ogg,0,
138,1-136,有,you3,to have; there is; there are; to exist; to be,chi-1144872b.ogg,0,
139,1-137,月,yue4,moon; month,chi-4700bc8c.ogg,0,
140,1-138,在,zai4,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),chi-bff65957.ogg,0,
141,1-139,再见,zai4 jian4,goodbye; see you again later,chi-51d05e55.ogg,0,
142,1-140,怎么,zen3 me5,how?; what?; why?,chi-a25a0b5f.ogg,0,
143,1-141,怎么样,zen3 me5 yang4,how?; how about?; how was it?; how are things?,chi-9ddf6215.ogg,0,
144,1-142,这,zhe4,this; these; (commonly pr. zhei4 before a classifier; esp. in Beijing),chi-621ec34c.ogg,0,
145,1-142,这儿,zhe4 r,here,hsk1-142.ogg,0,
146,1-143,中国,Zhong1 guo2,China; Middle Kingdom,hsk1-143.ogg,0,
147,1-144,中午,zhong1 wu3,noon; midday,chi-decfc38b.ogg,0,
148,1-145,住,zhu4,to live; to dwell; to stay; to reside; to stop,chi-1d11065e.ogg,0,
149,1-146,桌子,zhuo1 zi5,table; desk,chi-60f2dada.ogg,0,
150,1-147,字,zi4,letter; symbol; character; word,chi-ccb38608.ogg,0,
151,1-148,昨天,zuo2 tian1,yesterday,chi-db413ba0.ogg,0,
152,1-149,坐,zuo4,to sit; to take a seat; to take (a bus; airplane etc); to bear fruit; surname Zuo,chi-6e4fb365.ogg,0,
153,1-150,做,zuo4,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,chi-6faa66b9.ogg,0,
